plant or crop host,common name,scientific name,type,imgLinks,hosts,symptoms,conditions favoring disease,prevention and management,identification,life cycle,solutions,damage,viruses,title name,title description
primrose,Leaf spot diseases,Ramularia primulae,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/C/D-FL-CIRI-FO.005a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PMIN-FO.003a.jpg,,,,,,,"in most cases, infections can be tolerated. remove fallen leaves and debris promptly. many of the pathogens are favored by moisture, so avoid overhead sprinklers and irrigate early in the day so that the foliage dries more quickly. generally, fungicide treatment is not warranted.",,,leaf spot diseases,"many fungi cause leaf spots on different hosts. spots may vary from small discrete dots and raised areas to irregular yellow or brownish patches that cover much of the leaf surface. leaves may fall off the tree if the problem is severe, but these pathogens rarely cause long-term damage to trees. similar spots can be caused by bacterial pathogens, insects and mites, or abiotic factors on some plants."
prune,Powdery mildew,Podosphaera tridactyla,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/U/D-GR-UNEC-FO.002h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/U/D-GR-UNEC-FR.003h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AP-PLEU-FR.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-SF-SPAN-FR.014h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AP-PLEU-BT.004h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7494.html,
pumpkin,Fusarium crown and foot rot,Fusarium solani,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/F/D-CU-FSOL-FR.001a.jpg,,,,,,,this fungus survives in the soil and on seed. the disease occurs most often in the central coast of california. rotate out of cucurbits for 4 years and use clean seed.,,,fusarium crown and foot rot on squash and pumpkin€”fusarium solani f. sp. cucurbitae,"although all cucurbits are susceptible, fusarium crown and foot rot is a problem only on squash and pumpkin. the fungus causes water-soaked lesions on the stem at the soil line. infected plants wilt and die. on the fruit, the lesions usually begin on the area that is resting on the ground. fruit lesions are firm and dry, with the decayed area exhibiting a concentric ring pattern."
pumpkin,Powdery mildew,Erysiphe cichoracearum,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-CU-PXAN-FO.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/L/D-TO-LTAU-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FR.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7406.html,
quince,Powdery mildew,Podosphaera leucotricha,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/U/D-GR-UNEC-FO.002h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/U/D-GR-UNEC-FR.003h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AP-PLEU-FR.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-SF-SPAN-FR.014h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AP-PLEU-BT.004h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7494.html,
radicchio,Powdery mildew,Erysiphe cruciferarum,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-CU-PXAN-FO.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/L/D-TO-LTAU-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FR.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7406.html,
radish,Powdery mildew,Erysiphe cruciferarum,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-CU-PXAN-FO.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/L/D-TO-LTAU-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FR.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7406.html,
redberry,Branch and twig dieback,various,Fungus,,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/GARDEN/PLANTS/DISEASES/brtwigdieback.html,
rhamnus,Branch and twig dieback,various,Fungus,,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/GARDEN/PLANTS/DISEASES/brtwigdieback.html,
rhododendron,Ovulinia petal blight,Ovulinia azalea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/O/D-WO-OAZA-BL.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/O/D-WO-OAZA-BL.003a.jpg,,,,,"damage from ovulinia petal blight resembles that of botrytis blight. however, botrytis blight is a drier rot that also affects blossoms and dying or inactive green tissue. ovulinia petal blight infects only blossoms. botrytis and ovulinia produce similar sclerotia (infectious structures) that are black, flattened, irregular shaped, and about 1/8 to 1/2 inch long. ovulinia sclerotia from fallen flowers produce very small, brownish, wineglass-shaped apothecia (reproductive structures) about 1/12 inch diameter on stalks about 1/8 to 2/5 inch long.","the biology of ovulinia petal blight is nearly identical to that of camellia petal blight. the fungi infect wet blossoms when temperatures are mild, about 50° to 70°f. ovulinia azaleae persists and reproduces by forming apothecia and sclerotia described above. ovulinia petal blight also produces colorless conidia (asexual spores) that develop on infected petals. apothecia forcibly discharge large numbers of spores that are carried by wind onto emerging blooms where they germinate and infect flowers when they are wet. these spores also spread by movement of flower-visiting insects, especially bumble bees. the insect- and wind-borne spores allow the fungus to reproduce and spread between many blossoms within several days of an initial infection. damage the disease causes premature death of blossoms of rhododendron species. infected blossoms develop brownish or white spots that spread over entire petals and flowers. infected blossoms become droopy, limp, and slimy and sometimes cling to leaves after they die.",,"the disease causes premature death of blossoms of rhododendron species. infected blossoms develop brownish or white spots that spread over entire petals and flowers. infected blossoms become droopy, limp, and slimy and sometimes cling to leaves after they die. solutions sanitation is the primary management method. remove the top layer of potting soil when new azalea or rhododendron are purchased and replace it with pathogen-free soil. plant azaleas and rhododendrons in a well-ventilated location. avoid over-head irrigation and instead install drip or microsprinkler irrigation. remove and dispose of fallen, old, and infected flowers. do not add azalea and rhododendron petals or leaves to composting piles or mulch. even if the organic material is composted, it is difficult to expose all plant debris to the 140°f required to kill the ovulinia propagules by composting. each year when blossoms are no longer present, apply a fresh layer of uncontaminated organic mulch beneath host plants. maintain about a 4-inch mulch layer to help suppress ovulinia propagules. keep mulch thin near the trunk or several inches away from trunks. application of appropriate fungicides prior to bud break or before rainy weather or both can help to reduce infections. where petal blight has been a problem, the fungicides chlorothalonil, thiophanate methyl, or triforine can be applied before disease develops. depending on the fungicide, reapplication may be warranted every 10 to 14 days while conditions remain suitable (foggy or rainy) for the pathogen. be aware that fungicides often provide only partial control unless they are applied preventatively in combination with the recommended cultural and sanitation practices. adapted from pests of landscape trees and shrubs: an integrated pest management guide, university of california statewide integrated pest management program (uc ipm).",,azalea petal blight and rhododendron petal blight€”ovulinia azaleae,"azaleas and rhododendrons are highly susceptible to petal blight, also called flower blight or ovulinia petal blight. the causal fungus, ovulinia azaleae, infects only petals, causing white to brownish spots that can enlarge rapidly."
rose,Anthracnose,Sphaceloma rosarum,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/S/D-WO-SPAN-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PSPA-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-FL-PMUC-FO.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-WO-DROS-FO.003h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/R/D-WO-ROMV-FO.008h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7463.html,
rose,Black spot,Diplocarpon rosae,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/D/D-WO-DROS-FO.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-WO-DROS-FO.002a.jpg,,,,,"the fungus produces black spots on the upper surface of rose leaves and stems. spots sometimes have feathery margins, and tiny, black, fungal fruiting bodies may be visible in the spots. yellowed areas develop around spots. infected foliage often drops prematurely.","the pathogen persists on living and dead leaves and on infected stems. its spores are spread by splashing water. for spore production and infection, leaves must remain wet for more than about 7 hours.","to reduce black spot, irrigate and hose off aphids in the morning instead of the evening or night. do not plant roses too close together. prune canopies to increase air circulation. prune off infected stems during the dormant season and dispose of fallen rose leaves and stems away from rose plants. avoid planting roses where they will not receive at least 6 to 8 hours of full sun. choose disease-resistant varieties when planting. miniature roses are more susceptible than other types, but a few varieties are reliably resistant to all strains of black spot.",,,black spot€”diplocarpon rosae,"this fungal disease of roses is usually a problem in california only in foggy or humid coastal areas. it can occur anywhere leaves commonly remain wet, such as where roses are sprinkler irrigated during the evening or night."
rose,Botrytis blight,Botrytis cinerea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/S/D-WO-SPAN-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PSPA-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-FL-PMUC-FO.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-WO-DROS-FO.003h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/R/D-WO-ROMV-FO.008h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7463.html,
rose,Crown gall,Agrobacterium tumefaciens,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/S/D-WO-SPAN-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PSPA-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-FL-PMUC-FO.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-WO-DROS-FO.003h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/R/D-WO-ROMV-FO.008h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7463.html,
rose,Downy mildew,Peronospora sparsa,Oomycete,https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PSPA-FO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-VC-PFAR-FO.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-CC-PPAR-FU.001a.jpg,,,,,"downy mildew causes pale green to yellow areas on the upper surface of leaves, and sometimes also discolors buds and stems. discoloration may turn purplish red to dark brown and necrotic; its shape often depends on leaf veins, which limit the pathogen's spread. infected leaves may drop prematurely. where downy mildew lesions occur on the upper surface of leaves, fluffy masses of brown, gray, or purplish spores form on the underside of leaves. because under ideal, cool moist conditions spores persist for only a few days, often no spores are visible even though downy mildew is causing damage. downy mildew can be confused with powdery mildew, such as on roses. however, grayish downy mildew spores are almost always limited to the underside of leaves, and viewed under magnification its spores occur in branched stalks (sporangia) like tiny trees. powdery mildew is common on both sides of the leaf and produces spores on chains, and its whitish to gray growth is typically more extensive and prominent than with downy mildew. powdery mildews are fungi and downy mildews are oomycetes (not fungi), which partly explains why their biology and management differ.",downy mildew spores are produced only on living plants and spread mostly with air movement. spores landing on a host germinate and infect within 8 to 12 hours if the plant is wet. downy mildews are favored by low temperatures (40° to 70°f) and require high relative humidity (‰¥90%) or wet foliage to produce spores and infect plants.,"to control downy mildew, provide good air circulation and maintain low humidity; adequately space plants and prune host canopies and nearby and overhead vegetation. avoid wetting foliage; use drip or low-volume microsprinklers instead of overhead irrigation where feasible. promptly remove and dispose of infected foliage to reduce pathogen inoculum. control with pesticides (mostly preventive fungicides) is difficult, and modifying environmental conditions can be more effective.",,,downy mildew of roses€”peronospora sparsa,"downy mildews, including peronospora and plasmopara spp., are pathogenic water molds (oomycetes) that primarily damage foliage. hosts include caneberries, rose, various herbaceous ornamentals, and many fruit, grain, and vegetable crops."
